game_id,retrieved_at,forecast_for_utc,hours_to_kickoff,is_indoor,roof_status_unknown,source,temp_f,feels_like_f,wind_mph,wind_gust_mph,wind_dir_deg,precip_prob,precip_in,humidity_pct,condition_code
2026_NFL_W03_CIN_PIT,2026-09-12T23:01:51.421952+00:00,2026-09-27T17:00:00+00:00,354.0,False,False,open_meteo,79.2,82.2,4.7,6.7,188.0,0.14,0.0,51.0,0.0
2026_NFL_W03_SEA_WAS,2026-09-12T23:01:51.879944+00:00,2026-09-27T17:00:00+00:00,354.0,False,False,open_meteo,75.6,76.6,4.7,4.0,145.0,0.16,0.0,44.0,0.0
2026_NFL_W03_ARI_SF,2026-09-12T23:01:51.880244+00:00,2026-09-27T20:05:00+00:00,357.1,False,False,open_meteo,83.2,82.9,4.5,3.4,307.0,0.04,0.0,27.0,0.0
2026_NFL_W03_MIN_TB,2026-09-12T23:01:51.880447+00:00,2026-09-27T20:05:00+00:00,357.1,False,False,open_meteo,87.9,91.1,10.9,15.4,62.0,0.25,0.004,55.0,51.0
2026_NFL_W03_BAL_DAL,2026-09-12T23:01:52.342359+00:00,2026-09-27T20:25:00+00:00,357.4,False,False,open_meteo,77.5,84.7,4.4,7.2,165.0,0.41,0.071,83.0,80.0
2026_NFL_W03_LV_NO,2026-09-12T23:01:52.342578+00:00,2026-09-27T20:25:00+00:00,357.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_ATL_GB,2026-09-14T17:02:37.402446+00:00,2026-09-25T00:15:00+00:00,247.2,False,False,open_meteo,62.5,57.6,13.2,24.2,32.0,0.06,0.0,69.0,3.0
2026_NFL_W03_LAC_BUF,2026-09-14T17:02:37.402854+00:00,2026-09-27T17:00:00+00:00,312.0,False,False,open_meteo,66.7,66.7,7.0,8.5,310.0,0.12,0.004,76.0,51.0
2026_NFL_W03_CAR_CLE,2026-09-14T17:02:38.045656+00:00,2026-09-27T17:00:00+00:00,312.0,False,False,open_meteo,67.0,66.6,9.6,11.0,324.0,0.16,0.0,80.0,3.0
2026_NFL_W03_NYJ_DET,2026-09-14T17:02:38.046069+00:00,2026-09-27T17:00:00+00:00,312.0,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_HOU_IND,2026-09-14T17:02:38.673468+00:00,2026-09-27T17:00:00+00:00,312.0,False,True,open_meteo,77.0,78.7,5.6,7.6,353.0,0.13,0.0,51.0,0.0
2026_NFL_W03_NE_JAX,2026-09-14T17:02:39.296022+00:00,2026-09-27T17:00:00+00:00,312.0,False,False,open_meteo,93.2,100.8,2.7,2.7,325.0,0.31,0.0,45.0,3.0
2026_NFL_W03_KC_MIA,2026-09-14T17:02:39.919011+00:00,2026-09-27T17:00:00+00:00,312.0,False,False,open_meteo,92.0,101.1,1.6,3.6,45.0,0.36,0.0,46.0,3.0
2026_NFL_W03_TEN_NYG,2026-09-14T17:02:39.919415+00:00,2026-09-27T17:00:00+00:00,312.0,False,False,open_meteo,73.8,75.4,7.8,8.5,2.0,0.13,0.0,61.0,2.0
2026_NFL_W03_CIN_PIT,2026-09-14T17:02:40.540744+00:00,2026-09-27T17:00:00+00:00,312.0,False,False,open_meteo,71.5,72.3,7.9,11.6,317.0,0.13,0.004,70.0,51.0
2026_NFL_W03_SEA_WAS,2026-09-14T17:02:41.159989+00:00,2026-09-27T17:00:00+00:00,312.0,False,False,open_meteo,76.9,78.4,9.0,9.8,312.0,0.18,0.0,58.0,1.0
2026_NFL_W03_ARI_SF,2026-09-14T17:02:41.160405+00:00,2026-09-27T20:05:00+00:00,315.0,False,False,open_meteo,78.8,78.1,7.5,6.0,330.0,0.0,0.0,37.0,0.0
2026_NFL_W03_MIN_TB,2026-09-14T17:02:41.160724+00:00,2026-09-27T20:05:00+00:00,315.0,False,False,open_meteo,88.5,95.4,4.2,4.3,286.0,0.22,0.024,57.0,95.0
2026_NFL_W03_BAL_DAL,2026-09-14T17:02:41.801840+00:00,2026-09-27T20:25:00+00:00,315.4,False,False,open_meteo,69.1,67.5,11.3,31.1,108.0,0.18,0.0,71.0,0.0
2026_NFL_W03_LV_NO,2026-09-14T17:02:41.802119+00:00,2026-09-27T20:25:00+00:00,315.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_LAR_DEN,2026-09-14T17:02:41.802437+00:00,2026-09-28T00:20:00+00:00,319.3,False,False,open_meteo,62.0,62.8,1.4,1.8,198.0,0.19,0.059,76.0,80.0
2026_NFL_W03_PHI_CHI,2026-09-14T17:02:41.802757+00:00,2026-09-29T00:15:00+00:00,343.2,False,False,open_meteo,63.9,62.0,12.0,17.2,21.0,0.06,0.0,85.0,3.0
2026_NFL_W03_ATL_GB,2026-09-14T20:02:26.600696+00:00,2026-09-25T00:15:00+00:00,244.2,False,False,open_meteo,62.5,57.6,13.2,24.2,32.0,0.06,0.0,69.0,3.0
2026_NFL_W03_LAC_BUF,2026-09-14T20:02:26.601246+00:00,2026-09-27T17:00:00+00:00,309.0,False,False,open_meteo,66.7,66.7,7.0,12.5,310.0,0.12,0.004,76.0,51.0
2026_NFL_W03_CAR_CLE,2026-09-14T20:02:27.631129+00:00,2026-09-27T17:00:00+00:00,309.0,False,False,open_meteo,67.0,66.6,9.6,8.5,324.0,0.16,0.0,80.0,3.0
2026_NFL_W03_NYJ_DET,2026-09-14T20:02:27.631527+00:00,2026-09-27T17:00:00+00:00,309.0,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_HOU_IND,2026-09-14T20:02:28.665545+00:00,2026-09-27T17:00:00+00:00,309.0,False,True,open_meteo,77.0,78.7,5.6,5.4,353.0,0.13,0.0,51.0,0.0
2026_NFL_W03_NE_JAX,2026-09-14T20:02:29.684359+00:00,2026-09-27T17:00:00+00:00,309.0,False,False,open_meteo,93.2,100.8,2.7,8.9,325.0,0.31,0.0,45.0,3.0
2026_NFL_W03_KC_MIA,2026-09-14T20:02:30.694050+00:00,2026-09-27T17:00:00+00:00,309.0,False,False,open_meteo,92.0,101.1,1.6,9.6,45.0,0.36,0.0,46.0,3.0
2026_NFL_W03_TEN_NYG,2026-09-14T20:02:30.694628+00:00,2026-09-27T17:00:00+00:00,309.0,False,False,open_meteo,73.8,75.4,7.8,23.5,2.0,0.13,0.0,61.0,2.0
2026_NFL_W03_CIN_PIT,2026-09-14T20:02:31.729208+00:00,2026-09-27T17:00:00+00:00,309.0,False,False,open_meteo,71.5,72.3,7.9,9.8,317.0,0.13,0.004,70.0,51.0
2026_NFL_W03_SEA_WAS,2026-09-14T20:02:32.770177+00:00,2026-09-27T17:00:00+00:00,309.0,False,False,open_meteo,76.9,78.4,9.0,24.4,312.0,0.18,0.0,58.0,1.0
2026_NFL_W03_ARI_SF,2026-09-14T20:02:32.770763+00:00,2026-09-27T20:05:00+00:00,312.0,False,False,open_meteo,78.8,78.1,7.5,3.6,330.0,0.0,0.0,37.0,0.0
2026_NFL_W03_MIN_TB,2026-09-14T20:02:32.771231+00:00,2026-09-27T20:05:00+00:00,312.0,False,False,open_meteo,88.5,95.4,4.2,13.4,286.0,0.22,0.024,57.0,95.0
2026_NFL_W03_BAL_DAL,2026-09-14T20:02:33.804739+00:00,2026-09-27T20:25:00+00:00,312.4,False,False,open_meteo,76.1,83.4,4.9,15.7,184.0,0.18,0.012,89.0,51.0
2026_NFL_W03_LV_NO,2026-09-14T20:02:33.805096+00:00,2026-09-27T20:25:00+00:00,312.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_LAR_DEN,2026-09-14T20:02:33.805615+00:00,2026-09-28T00:20:00+00:00,316.3,False,False,open_meteo,62.0,62.8,1.4,4.0,198.0,0.19,0.059,76.0,80.0
2026_NFL_W03_PHI_CHI,2026-09-14T20:02:33.806090+00:00,2026-09-29T00:15:00+00:00,340.2,False,False,open_meteo,63.9,62.0,12.0,16.1,21.0,0.06,0.0,85.0,3.0
2026_NFL_W03_ATL_GB,2026-09-14T23:02:17.739238+00:00,2026-09-25T00:15:00+00:00,241.2,False,False,open_meteo,62.5,57.6,13.2,6.3,32.0,0.07,0.0,69.0,3.0
2026_NFL_W03_LAC_BUF,2026-09-14T23:02:17.739653+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,66.7,66.7,7.0,12.5,310.0,0.11,0.004,76.0,51.0
2026_NFL_W03_CAR_CLE,2026-09-14T23:02:18.415986+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,67.0,66.6,9.6,8.5,324.0,0.26,0.0,80.0,3.0
2026_NFL_W03_NYJ_DET,2026-09-14T23:02:18.416260+00:00,2026-09-27T17:00:00+00:00,306.0,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_HOU_IND,2026-09-14T23:02:19.051607+00:00,2026-09-27T17:00:00+00:00,306.0,False,True,open_meteo,77.0,78.7,5.6,5.4,353.0,0.2,0.0,51.0,0.0
2026_NFL_W03_NE_JAX,2026-09-14T23:02:19.691111+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,93.2,100.8,2.7,8.9,325.0,0.42,0.0,45.0,3.0
2026_NFL_W03_KC_MIA,2026-09-14T23:02:20.332994+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,92.0,101.1,1.6,9.6,45.0,0.38,0.0,46.0,3.0
2026_NFL_W03_TEN_NYG,2026-09-14T23:02:20.333415+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,73.8,75.4,7.8,23.5,2.0,0.13,0.0,61.0,2.0
2026_NFL_W03_CIN_PIT,2026-09-14T23:02:20.972818+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,71.5,72.3,7.9,9.8,317.0,0.18,0.004,70.0,51.0
2026_NFL_W03_SEA_WAS,2026-09-14T23:02:21.684785+00:00,2026-09-27T17:00:00+00:00,306.0,False,False,open_meteo,76.9,78.4,9.0,24.4,312.0,0.13,0.0,58.0,1.0
2026_NFL_W03_ARI_SF,2026-09-14T23:02:21.685365+00:00,2026-09-27T20:05:00+00:00,309.0,False,False,open_meteo,78.8,78.1,7.5,3.6,330.0,0.03,0.0,37.0,0.0
2026_NFL_W03_MIN_TB,2026-09-14T23:02:21.685708+00:00,2026-09-27T20:05:00+00:00,309.0,False,False,open_meteo,88.5,95.4,4.2,13.4,286.0,0.25,0.024,57.0,53.0
2026_NFL_W03_BAL_DAL,2026-09-14T23:02:22.408600+00:00,2026-09-27T20:25:00+00:00,309.4,False,False,open_meteo,76.1,83.4,4.9,15.7,184.0,0.18,0.012,89.0,51.0
2026_NFL_W03_LV_NO,2026-09-14T23:02:22.409017+00:00,2026-09-27T20:25:00+00:00,309.4,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_LAR_DEN,2026-09-14T23:02:22.409384+00:00,2026-09-28T00:20:00+00:00,313.3,False,False,open_meteo,62.0,62.8,1.4,4.0,198.0,0.23,0.059,76.0,80.0
2026_NFL_W03_PHI_CHI,2026-09-14T23:02:22.409709+00:00,2026-09-29T00:15:00+00:00,337.2,False,False,open_meteo,63.9,62.0,12.0,16.1,21.0,0.16,0.0,85.0,3.0
2026_NFL_W03_ATL_GB,2026-09-15T11:05:14.976725+00:00,2026-09-25T00:15:00+00:00,229.2,False,False,open_meteo,56.3,50.6,16.2,32.9,332.0,0.1,0.016,90.0,51.0
2026_NFL_W03_LAC_BUF,2026-09-15T11:05:14.977132+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,73.7,74.7,6.7,10.1,233.0,0.1,0.0,58.0,2.0
2026_NFL_W03_CAR_CLE,2026-09-15T11:05:15.651965+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,73.8,76.0,4.8,8.1,202.0,0.05,0.0,58.0,2.0
2026_NFL_W03_NYJ_DET,2026-09-15T11:05:15.652222+00:00,2026-09-27T17:00:00+00:00,293.9,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_HOU_IND,2026-09-15T11:05:16.309100+00:00,2026-09-27T17:00:00+00:00,293.9,False,True,open_meteo,76.0,76.8,5.7,7.8,154.0,0.06,0.0,47.0,1.0
2026_NFL_W03_NE_JAX,2026-09-15T11:05:16.965558+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,79.2,85.8,8.1,20.4,106.0,0.63,0.02,83.0,53.0
2026_NFL_W03_KC_MIA,2026-09-15T11:05:17.614642+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,90.0,94.5,14.3,15.2,113.0,0.4,0.0,54.0,3.0
2026_NFL_W03_TEN_NYG,2026-09-15T11:05:17.615044+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,79.6,81.3,2.0,2.7,186.0,0.1,0.0,37.0,0.0
2026_NFL_W03_CIN_PIT,2026-09-15T11:05:18.271438+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,76.7,79.1,3.6,5.4,169.0,0.09,0.0,49.0,1.0
2026_NFL_W03_SEA_WAS,2026-09-15T11:05:18.921059+00:00,2026-09-27T17:00:00+00:00,293.9,False,False,open_meteo,79.7,83.4,4.1,4.9,131.0,0.07,0.0,50.0,1.0
2026_NFL_W03_ARI_SF,2026-09-15T11:05:18.921455+00:00,2026-09-27T20:05:00+00:00,297.0,False,False,open_meteo,73.5,70.2,6.5,11.4,354.0,0.01,0.0,25.0,0.0
2026_NFL_W03_MIN_TB,2026-09-15T11:05:18.921795+00:00,2026-09-27T20:05:00+00:00,297.0,False,False,open_meteo,86.4,90.7,10.9,14.5,105.0,0.32,0.0,62.0,3.0
2026_NFL_W03_BAL_DAL,2026-09-15T11:05:19.577330+00:00,2026-09-27T20:25:00+00:00,297.3,False,False,open_meteo,74.1,78.8,7.9,25.1,222.0,0.25,0.004,87.0,51.0
2026_NFL_W03_LV_NO,2026-09-15T11:05:19.577610+00:00,2026-09-27T20:25:00+00:00,297.3,True,False,open_meteo,,,,,,,,,
2026_NFL_W03_LAR_DEN,2026-09-15T11:05:19.577943+00:00,2026-09-28T00:20:00+00:00,301.2,False,False,open_meteo,83.8,78.3,8.5,8.7,342.0,0.03,0.0,23.0,3.0
2026_NFL_W03_PHI_CHI,2026-09-15T11:05:19.578260+00:00,2026-09-29T00:15:00+00:00,325.2,False,False,open_meteo,80.5,81.1,6.7,14.3,178.0,0.1,0.0,50.0,0.0
